#「東方地霊殿　～ Subterranean Animism.」 製品版曲データ (contributed by Nautilus, 2009/09/17)
#デフォルトのパスと製品名
@上海アリス幻樂団\東方地霊殿\thbgm.dat,東方地霊殿　～ Subterranean Animism.
#原作者名
#=ProductInfo,Creator,上海アリス幻樂団
#製品略称
#=ProductInfo,Prefix,th11
#=ProductInfo,ShortName,東方地霊殿
#=ProductInfo,AbbreviatedShortName,地霊殿
#=ProductInfo,ShortestName,地
#頒布年月日
#=ProductInfo,ReleaseDate,2008-08-16
#thbgm.datのサイズ(バイト単位)
#=ProductInfo,BgmSourceLength,362242056
#thbgm.datのハッシュ値(MD5)
#=ProductInfo,BgmSourceHash,MD5Sum,ac7ed8b8028e3e9f1fe82a81cba6a70b
#thbgm.datの識別用ハッシュ値(末尾4MBのハッシュ)
#=ProductInfo,BgmSourceIdentificationHash,MD5Sum,
#THxxBGM製品識別用GUID
#=ProductInfo,THxxBGMProductGuid,881949AA-B453-A741-E8CD-72D1A5741E0F
#曲データ
#開始位置[Bytes]、イントロ部の長さ[Bytes]、ループ部の長さ[Bytes]、曲名
#位置・長さは16進値として記述する
00000010,00053E00,00CC7F80,地霊達の起床
00D1BD90,00064D80,01046C00,暗闇の風穴
01DC7710,000C7000,00890880,封じられた妖怪　～ Lost Place
0271EF90,000A3A00,01220800,渡る者の途絶えた橋
039E3190,00090800,0120E600,緑眼のジェラシー
04C81F90,0008F280,01305800,旧地獄街道を行く
06016A10,00101700,01131500,華のさかづき大江山
07249610,0015D600,01635100,ハートフェルトファンシー
089DBD10,0009BE00,01468A80,少女さとり　～ 3rd eye
09EE0590,000ACDA8,01DB62D0,廃獄ララバイ
0BD43608,00084600,0108CF00,死体旅行　～ Be of good cheer!
0CE54B08,00096800,01313800,業火マントル
0E1FEB08,0009A900,01BF2500,霊知の太陽信仰　～ Nuclear Fusion
0FE8B908,0010D780,01F13500,ラストリモート
11EAC588,003EBD00,01607500,ハルトマンの妖怪少女
1389F788,000BEE00,00B6EE00,地霊達の帰宅
144CD388,00521BE0,009193E0,エネルギー黎明 ～ Future Dream...
15308348,001CACC8,004A2FF8,プレイヤーズスコア
